NOTICE: Existing SQLite export found: lab/ncu/trace_fp8.sqlite
        It is assumed file was previously exported from: lab/ncu/trace_fp8.nsys-rep
        Consider using --force-export=true if needed.
 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):
+----------+-----------------+-----------+-----------+-----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances | Avg (ns)  | Med (ns)  | Min (ns) | Max (ns) | StdDev (ns) |                                                 Name                                                 |
|      0.1 |          130173 |        64 |    2034.0 |    2048.0 |     1824 |     2176 |        46.2 | tensorrt_llm::kernels::copyNextStepIds(int *, const int *const *, const int *, const int *, const i… |
|      0.1 |          125408 |        48 |    2612.7 |    2624.0 |     2495 |     3808 |       196.7 | void tensorrt_llm::kernels::applyBiasRopeUpdateKVCacheV2<__half, __nv_fp8_e4m3, (int)256, (int)64, … |
|      0.0 |          112834 |        64 |    1763.0 |    1760.0 |     1728 |     1888 |        30.0 | tensorrt_llm::kernels::lengthCriterion(tensorrt_llm::kernels::FinishedState *, int *, const int *, … |
|      0.0 |          105534 |        64 |    1649.0 |    1632.0 |     1631 |     1760 |        23.5 | __myl_AddCasMulMea_0x27ad373ddb444293ca77c0a684a417a9_vec                                            |
|      0.0 |           90112 |        64 |    1408.0 |    1408.0 |     1375 |     1600 |        29.1 | void tensorrt_llm::runtime::kernels::<unnamed>::fillBatch<int>(T1 *, const int *, unsigned long, co… |
|      0.0 |           29311 |         9 |    3256.8 |    1472.0 |      960 |    11264 |      3674.8 | void tensorrt_llm::runtime::kernels::<unnamed>::fill<int>(T1 *, unsigned long, T1)                   |
|      0.0 |            3360 |         2 |    1680.0 |    1680.0 |     1408 |     1952 |       384.7 | void tensorrt_llm::runtime::kernels::<unnamed>::tileTensor<int>(T1 *, const T1 *, unsigned int, uns… |
|      0.0 |            3264 |         2 |    1632.0 |    1632.0 |     1408 |     1856 |       316.8 | tensorrt_llm::kernels::curandInitialize(curandStateXORWOW *, const int *, int, unsigned long)        |
|      0.0 |            2751 |         2 |    1375.5 |    1375.5 |     1311 |     1440 |        91.2 | tensorrt_llm::kernels::setupTopKRuntimeArgs(int, int, int *, int, float, float *, int, bool *, cons… |
+----------+-----------------+-----------+-----------+-----------+----------+----------+-------------+------------------------------------------------------------------------------------------------------+
